"iguanaID","abx","lps","tx","jan11mass","jan20glu","jan20mass","jan20svl","jan24glu","jan24mass","feb8glu","feb8mass","feb8svl","tailbreak","jan24agg","jan26agg","feb1agg","feb8agg","jan24lys","jan26lys","feb1lys","feb8lys","jan20bka","jan24bka","jan26bka","feb1bka","feb8bka","jan20drom","jan24drom","feb8drom","jan20oxy","jan24oxy","feb8oxy","jan20totri","jan20gly","jan20trtri","jan24totri","jan24gly","jan24trtri","feb8totri","feb8gly","feb8trtri","jan20drom_std","jan24drom_std","feb8drom_std","jan20oxy_std","jan24oxy_std","feb8oxy_std","jan20osi","jan24osi","feb8osi"
57,"C","L","cl",34,239,37,105,343,37,171,42,112,0,0.5,2,10,NA,0.5,2,10.5,NA,3.9408867,78.75968992,10.04081633,40.55374593,98.44054581,4.393989983,17.25431255,NA,345.1332149,358.9415042,NA,4.30299303,0.741535527,3.730394069,6.706318253,2.863996662,4.500982912,2.630491926,2.927316294,0.526861721,-0.305915508291162,3.25335608023077,NA,0.533187853043804,0.906865804142733,NA,-0.839103361334966,2.34649027608803,NA
58,"C","P","cp",33,346,35,107,343,33,288,37,107,0,2,1,3,NA,2,1,3,NA,0.985221675,66.66666667,0.244897959,14.00651466,80.50682261,3.113188648,3.060631939,11.21848185,348.1527531,346.9684031,321.8529708,1.853218532,0.417262756,1.611392899,1.733619345,0.193992491,1.616512929,1.733007886,1.192092652,0.915301524,-0.645976195798117,-0.98130235674229,0.403758274609177,1.11588217494007,0.13437284710929,-1.80940331806164,-1.76185837073819,-1.11567520385158,2.21316159267082
59,"P","P","pp",33,292,37,102,270,34,259,34,102,0,2,0,2,NA,2,0.5,2.5,NA,13.79310345,9.612403101,11.18367347,6.188925081,98.57814471,5.712186978,6.350811272,14.91485149,343.6234458,349.000854,330.4128902,1.828618286,0.221745351,1.715957862,2.051482059,0.064664164,2.018372902,2.818250094,1.851038339,1.476858144,0.0440739585681174,0.000316580127758355,1.19503155194118,0.241840692095676,0.265504622632867,-1.01327360953185,-0.197766733527559,-0.265188042505108,2.20830516147303
60,"P","L","pl",33,138,33,104,259,33,344,33,108,0,1,1,4,2,1,1.5,5,0,123.6453202,35.65891473,7.755102041,34.8534202,52.78064442,11.28414023,9.927924851,15.55247525,343.9253996,351.6140051,339.3152064,1.437064371,0.269432523,1.312134218,1.115444618,0.062578223,1.112581279,1.577168607,0.906549521,0.971457186,1.52346205869977,1.06754182018169,1.33152619166015,0.300110120425806,0.434102616047804,-0.185298710428708,1.22335193827397,0.633439204133881,1.51682490208886
61,"P","L","pl",32,342,35,99,239,32,321,34,105,0,1,0,0.5,2,1,0,0,0,3.28407225,5.271317829,-2.204081633,9.968847352,96.94989107,1.168614357,4.868317677,10.48844884,345.7371226,357.1306576,340,1.055760558,0.076299475,1.075692548,0.889235569,0.075093867,0.884243157,3.389034923,2.957268371,1.227913299,-1.16227271441926,-0.441982650204364,0.247481801030293,0.649726729001544,0.790031724727171,-0.121608329282006,-1.8119994434208,-1.23201437493153,0.369090130312299
62,"P","P","pp",32,236,37,102,288,36,323,38,106,0,1.5,0,1,1,2,0,1.5,1.5,4.269293924,10.07751938,5.469387755,5.607476636,98.18828116,4.92687813,5.370931245,8.732673267,346.9449378,357.7113578,325.6193353,1.625666257,0.27420124,1.488490051,1.1524961,0.089695453,1.128837139,3.522343222,0.467252396,3.138994206,-0.164430404644601,-0.292028819017065,-0.128373004418002,0.882804442322073,0.827497942618531,-1.45910624965677,-1.04723484696667,-1.1195267616356,1.33073324523877
63,"C","P","cp",32,233,40,103,255,38,286,43,110,0,1,0,3,1.5,1.5,0.5,3,2,5.747126437,-3.728251864,6.448979592,10.12461059,100.2063983,8.844073456,5.858311575,NA,342.1136767,357.4210077,338.6304129,3.819188192,1.940867907,2.484978541,2.611154446,0.106382979,2.530621503,NA,NA,NA,0.875609216846418,-0.146619796296791,NA,-0.0495064688524629,0.808764833672853,-0.248989082274744,0.925115685698881,-0.955384629969644,NA
64,"C","L","cl",32,243,36,107,273,36,238,41,111,0,0,0,0.5,2,1,0.5,0,0,4.269293924,84.25849213,9.551020408,15.26479751,73.90207545,6.450751252,7.739599652,NA,345.7371226,343.1938514,314.3202417,3.56498565,0.83929423,2.964104565,5.889235569,0.204422194,5.637002873,2.923394668,0.854632588,2.290936405,0.240167347855938,0.414659032358181,NA,0.649726729001544,-0.109157594992178,-2.50999746417204,-0.409559381145606,0.523816627350359,NA
65,"W","L","wl",31,214,35,101,260,35,163,42,110,0,10,0,5,12,10.5,0,5,12,4.433497537,29.57746479,10.69387755,38.00623053,64.88934755,7.516527546,11.95056571,22.7049505,329.4316163,342.322801,314.6626385,2.101271013,0.321888412,1.909871245,7.012480499,6.83979975,1.915545138,9.100638378,8.186900958,2.921167465,0.523137555149058,1.67099299069012,2.86263998256975,-2.4968226130978,-0.165356928281126,-2.47815227359868,3.01996016824686,1.83634991897124,5.34079225616843
66,"W","P","wp",30,241,34,108,332,35,293,36,111,0,0,0,0.5,0,1,0,0.5,0,2.955665025,-0.745650373,2.857142857,16.82242991,93.21178764,7.301502504,4.834812881,9.61980198,348.7566607,348.7105038,301.9939577,1.217712177,0.116833572,1.203277409,1.497659906,0.146015853,1.422576743,1.772437101,0.397364217,1.522283425,0.466047074669717,-0.451978744307715,0.0615325820132379,1.23242103160034,0.246771507235283,-3.65642425040736,-0.766373956930625,-0.698750251542998,3.7179568324206
67,"W","P","wp",30,211,37,106,269,36,233,44,108,0,0.5,1,0,0.5,0.5,2,0.5,0.5,9.359605911,-2.402651201,3.836734694,4.984423676,98.44054581,5.478464107,6.608877285,8.335313531,341.2078153,351.9043553,328.0161128,3.427634276,0.543633763,3.026921576,3.235064428,0.201173512,3.061614572,3.580548254,0.712859425,3.018456256,-0.0179809113218797,0.0773100992294579,-0.213434881666972,-0.224314753842863,0.452835731445391,-1.23618992494398,0.206333842520983,-0.375525632215933,1.02275504327701
68,"W","L","wl",29,240,32,99,360,31,258,34,105,0,0,0,3,2.5,0.5,0,1.5,0,6.239737274,9.362054681,8.571428571,11.68224299,97.04162367,4.085475793,4.064751958,12.61386139,343.0195382,352.1947054,339.6576032,2.148421484,0.743919886,1.678501756,2.883639203,0.157166806,2.755790421,2.726248592,2.184504792,1.150296874,-0.3878279366203,-0.681725000683105,0.702463936994669,0.125301835435406,0.47156884039107,-0.15345351985536,-0.513129772055706,-1.15329384107417,0.855917456850029
69,"C","L","cl",29,195,34,97,296,34,231,35,104,0,0,0,0.5,2,0,0,0,0,9.031198686,0.911350456,0.408163265,24.29906542,57.98646944,7.385642738,6.491906005,17.82574257,346.0390764,357.1306576,341.3695871,1.988519885,0.166905103,1.904018728,1.409605623,0.165549036,1.334982385,4.911753661,2.286341853,3.159024251,0.488386827946938,0.0424119335379134,1.81815925537835,0.707996157331673,0.790031724727171,0.00577242371073212,-0.219609329384735,-0.747619791189257,1.81238683166762
70,"C","P","cp",29,319,37,101,229,33,234,38,107,0,0,0,1.5,0,2,2,1.5,1,5.254515599,113.918807,4.979591837,18.06853583,99.08267401,7.123873122,16.98033072,16.28250825,347.2468917,356.2596072,329.3856999,2.49897499,0.057224607,2.461568474,3.621632175,0.289186924,3.36968743,3.501689824,0.26956869,3.260962873,0.418885373542699,3.17161410647608,1.48780266309836,0.941073889949672,0.733832391438224,-1.10880917195123,-0.522188516406973,2.43778171503785,2.5966118350496
71,"P","P","pp",26,167,32,96,211,33,296,34,103,0,2.5,0,2,0,3.5,0,2,0,4.105090312,1.077050539,9.714285714,30.99688474,98.05068226,9.423706177,5.848563969,12.04092409,347.2468917,356.8403074,331.4400806,2.770402187,0.461022632,2.429727906,4.244435767,0.173931266,4.049921295,1.911378145,1.134185304,1.126690035,1.02950529441788,-0.149527976572188,0.579816577766616,0.941073889949672,0.771298609329584,-0.917738037811795,0.0884314044682047,-0.920826585901771,1.49755461557841
72,"P","L","pl",25,261,30,99,261,29,291,31,102,0,2,2.5,NA,0,2,3,NA,0,85.22167488,24.44076222,9.87755102,10.12461059,NA,4.496828047,4.162228024,NA,344.8312611,347.5491033,NA,3.337433374,0.219360992,3.153335934,6.770792659,0.232606873,6.432801139,NA,NA,NA,-0.278611365337778,-0.65264319613905,NA,0.474918424713675,0.171839065000654,NA,-0.753529790051453,-0.824482261139704,NA
